name,category,url,area_min_m2,area_max_m2,floor,ceiling_height_m,electricity_kw,signage,separate_entrance,restroom,restrictions,contacts_email,raw_requirements
EVA GRAFFOVA,Одежда,/evagraffova.php,120.0,250.0,первый этаж,,,False,False,False,,maxim@evagraffova.ru,"Торговая сеть EvaGraffova - это магазины одежды больших размеров в Санкт-Петербурге, Казани, Сочи, Нижнем Новгороде и других городах России. Торговые центры и стрит-ритейл. от 140 до 180 (для ТЦ) и от 120 до 250 кв.м. для стрит-ритейла. Города с населением от 300 тыс человек. Первый этаж (стрит-ритейл), в торговых центрах - не выше второго. Площадь от 140 до 180 (для ТЦ) и от 120 до 250 кв.м. для стрит-ритейла. Города с населением от 300 тыс человек. Первый этаж (стрит-ритейл), в торговых центрах - не выше второго. Площадь от 140 до 180 (для ТЦ) и от 120 до 250 кв.м. для стрит-ритейла. Города с населением от 300 тыс человек. Первый этаж (стрит-ритейл), в торговых центрах - не выше второго."
O'HARA,Одежда,/ohara.php,100.0,200.0,1 этаж; 1-2 этаж; 2 этаж,,,True,False,False,,arenda@ohara.su,"Города с населением от 100 тыс. человек Торговые центры 1-2 этаж площадь от 100 до 200 м2 Большая витрина Street-retail 1 этаж площадь от 150 до 350 м2 высота потолков от 2,8 наличие рекламных полей"
FASHION HOUSE,Одежда,/fashionhouse.php,150.0,250.0,,,,False,False,False,,support@retailstreets.ru,Москва и ближнее Подмосковье Торговые центры Площадь от 150 до 250 м2
ДОДО ПИЦЦА,Общепит,/dodopizza.php,130.0,,,2.7,75.0,False,False,False,,realestate@dodopizza.com,"Площадь от 130 м2 В Москве, Санк-Петербурге, Московской и Ленинградской областях от 90 м2 Электроэнергия от 75 Квт Высота потолков от 2.7 м Первый или второй этаж"
ВКУСНО — И ТОЧКА,Общепит,/vkusno.php,1500.0,2500.0,,,,False,True,False,,support@retailstreets.ru,"Требования к участку: интенсивный автомобильный трафик; площадь от 1500 до 2500 м2; вид разрешенного использования — размещение предприятия общественного питания; удобный заезд и выезд с магистрали; отличная видимость — первая линия; пятно застройки здания ~400–500 м2. Требования к объекту: расположение в оживленном месте; размещение на первом этаже с отдельным входом (в случае встроенного помещения); площадь ~ 400 м2; удобный заезд и выезд с магистрали, наличие парковки; возможность установки летней площадки."
СУШИСЕТ,Общепит,/sushiset.php,30.0,80.0,цоколь,,10.0,True,True,False,,i.zhigalin@setsushi.ru,"Площадь помещения должна быть от 30 до 80 кв.м (помещения меньшей или большей площади рассматриваются индивидуально); Отдельный вход с улицы или с торца здания, при условии, что вход с центральной улицы; Желательно наличие парковочных мест; Не выше первого этажа или полуцоколь с окнами; На фасаде здания обязательно наличие свободного место для размещения рекламной вывески, и места для размещения лайтбоксов. Наличие водоснабжения; Установочная мощность электроснабжения не менее 10 кВт; Наличие санузла или возможность его подключения; Возможность перепланировки и реконструкции инженерных сетей; Наличие или возможность размещения и согласования приточно-вытяжной вентиляции."
ТАНУКИ,Общепит,/tanuki.php,380.0,,первый этаж; подвал,,,True,False,False,,arenda@tanuki.ru,"высокий уровень пешеходных и автомобильных потоков (не менее 4 полос движения); первая линия домов; первый этаж (возможно частичное размещение в подвале, но не более 50% от общей площади); витринные окна; площадь от 380 кв.м. до 500 кв.м. для организации одного ресторана, либо от 750 кв.м. до 900 кв.м. для организации двух ресторанов в одном помещении; наличие коммуникаций (водоснабжение, теплоснабжение, электроснабжение, канализация, каналы связи); возможность размещения рекламной вывески на фасаде; срок аренды не менее 5 лет."
KFC ROSTICS,Общепит,/kfc.php,,,,,,False,False,False,,,
BURGER KING,Общепит,/burgerking.php,120.0,320.0,,,,False,False,False,,development@burgerkingrus.ru,Покупка земли под строительство отдельно стоящего здания площадью от 1800 м2 до 5000 м2 Аренда/покупка помещения/строения площадью от 250 м2 до 500 м2 Аренда помещений в торговом центре от 120 до 320 м2
ТЕРЕМОК,Общепит,/teremok.php,20.0,250.0,,,,False,False,False,,arenda@teremok.ru,Расположение Москва и Московская область Площадь 20-250 кв.м.
ЧАЙХОНА №1,Общепит,/chaihona1.php,,,,,,False,False,False,,razvitie@chaihona1.ru,
PRIME,Общепит,/prime.php,20.0,,,,15.0,False,False,False,,arenda@prime-star.ru,"Кафе в бизнес-центрах Площадь (общая от 20 м² до 150 м²) Электроэнергия: не менее 15 кВт Проходное удобное для кафе место Завоз товара не пересекается с гостевым входом Канализация Наличие ХВС (холодного водоснабжения) Высота потолка не менее 3 метров Кафе на улицах Площадь (общая от 40 м² до 250 м²) Электроэнергия: не менее 35 кВт Проходное удобное для кафе место Завоз товара не пересекается с гостевым входом Канализация Наличие ХВС (холодного водоснабжения) Высота потолка не менее 3 метров Вентиляция, отопление PRIME Lite — новый формат для вашего офиса Корнер со свежими и полезными снэками, завтраками и широким ассортиментом ланчей для тех, кто ценит свое время, но не готов идти на компромисс с качеством Prime Lite Корнер"
ШОКОЛАДНИЦА,Общепит,/shoko.php,180.0,250.0,,,80.0,False,False,False,,m.trubnikov@shoko.ru,Площадь 180-250 м2 Мощность электричества 30-80 Квт
НИЯМА,Общепит,/niyama.php,200.0,400.0,,3.0,,False,False,False,,zayavka@niyama.ru,торговые центры или ОСЗ площадь 200-400 кв.м. электричество от 80 потолки не ниже 3 м 2 входа
МУ-МУ,Общепит,/mumu.php,500.0,600.0,,,160.0,False,True,False,,fastland@cafemumu.ru,"Площадь помещения: 500 – 600 кв.м. Высота потолка: от 2,7 м. Величина разрешенной электрической мощности на объекте должна быть не менее 160 кВт. Необходимо наличие холодной и горячей воды, канализации, в том числе технологической, системы вентиляции. Желателен отдельный вход Хорошо, если есть возможность организации летней веранды или площадки."
СТАРДОГС,Общепит,/stardonuts.php,,40.0,,,4.0,False,False,False,,arenda@stardonuts.ru,"Для размещения кофейни «Star Donuts» в островном формате требуется 8 м2 в торговой галерее или на фуд-корте, либо угловое помещение размером до 40 м2.

Потребление электричества – от 4 кВт, наличие канализации и водоснабжения желательно, но не обязательно."
ПАПА ДЖОНС,Общепит,/papajohn.php,100.0,200.0,1 этаж; 1 этаж,,50.0,False,False,False,,support@retailstreets.ru,площадь от 100 до 200 кв.м. 1 этаж электричество мощность от 50 Квт или возможность увеличения
СКАЛКА,Общепит,/skalka.php,40.0,80.0,,,,False,False,False,,support@retailstreets.ru,Food Corner 6x2.5 м Скалка Маркет 40-80 м2 Скалка Кафе 80-200 м2
SURF COFFEE,Общепит,/surfcoffee.php,,,,,,False,False,False,,support@retailstreets.ru,"Стрит-ритейл, помещение в торговом или офисном здании, отдельно стоящее здание Наличие поблизости учебных заведений, отелей, офисных зданий, спортивных площадок, городских достопримечательностей, скейт-парков Высоки потолки и большие окна как преимущество."
ПОМПОНЧИК,Общепит,/pomponchik.php,150.0,250.0,,,45.0,False,False,False,,support@retailstreets.ru,"Крупные торговые центры и автотрассы Московской области Площадь 150-250 м2 Электроэнергия от 45 Квт Водопровод, канализация Парковка для посетителей"
BURGER CLUB,Общепит,/burgerclub.php,40.0,60.0,подвал,,50.0,True,False,False,,support@retailstreets.ru,"ФУД КОРТ Общая зона фуд корта (in line) в торговом/торгово-развлекательном центре Площадь от 40 до 60 м² Ширина бара min. 5 м.п. Высота от 2,7 м. Электрическая мощность 50 кВт СТАЦИОНАР Торговое помещение (street retail) на центральной, оживленной улице Наличие витринных окон, ширина фасада от 6 м. Подвальные помещения не рассматриваются Площадь от 70 до 200 м² Высота от 2,7 м. Электрическая мощность 50 кВт"
ROSTICS,Общепит,/rostics.php,120.0,140.0,на 1 этаж; 1 этаж,,,False,False,False,,support@retailstreets.ru,"Фуд-корт Площадь фуд-корта от 120 до 140 м2. Длинна секции не менее 6 м Крупные торговые, и деловые бизнес-центры, ресторанные дворики, зона фуд-корт Помещения на 1 этаже Площадь помещения от 300 до 500 м2 Помещение находиться в местах скопления людей и транспортных потоков. Зона активного стрит ритейла Земельные участки Площадь участка от 1800 до 5000 м2 Расположен на транспортной магистрали, парковке торгового центр. Высокий автомобильный трафик вблизи объекта. Пешеходный трафик будет являться преимуществом"
ЛИНЗМАСТЕР,Оптика,/lensmaster.php,50.0,90.0,1 этаж; подвал; 1 этаж,,,False,False,False,,arenda@lensmaster.ru,"Площадь помещения: - Торговые центры: 50 - 90 кв.м. - Отдельностоящие помещения: 60-100 кв.м.; Расположение: - Торговые центры: 1 этаж, рядом с входом или супермаркетом; - Отдельностоящие помещения: 1 этаж, помещение одноуровневое (без подвала и второго этажа) рядом с метро или трафикообразующим объектом; Длительный срок аренды; Водопровод - холодная вода обязательно, горячая (желательно); Канализация - диаметр 50 – обязательно, диаметром 100 (желательно); Наличие вентиляции или возможность подключения вытяжки."
ОЧКАРИК,Оптика,/ochkarik.php,70.0,100.0,,,,False,False,False,,arenda@ochkarik.ru,Москва и Московская область. Общая площадь — 70 – 100 кв. м. Необходимая электрическая мощность — 100 – 150 Вт на кв. м. площади помещения. Наличие централизованного водоснабжения и канализации. Длительный срок аренды.
ОПТИМИСТ ОПТИКА,Оптика,/optimistoptica.php,,,,,,False,False,False,,arenda@optimistoptica.ru,
АЙКРАФТ,Оптика,/eyekraft.php,25.0,60.0,первый этаж,,,True,True,False,,arenda@eyekraft.ru,Площадь помещения от 25 до 60 кв.м. Отдельный вход. Витринные окна. Торговые центры - любой этаж с хорошей проходимостью. Стрит-ритейл - первый этаж.
ПОДРУЖКА,Парфюмерия и косметика,/podruzka.php,120.0,150.0,торговый центр,,,False,False,False,,kulakova@taber.ru,Площадь от 120 до 150 кв.м. Стрит-ритейл либо торговый центр
ЗОЛОТОЕ ЯБЛОКО,Парфюмерия и косметика,/goldapple.php,,,,,,False,False,False,,development@goldapple.ru,Торговая сеть Золотое яблока управляет магазинами парфюмерии и косметики в разных регионах России.
ГАЛЕРЕЯ КОСМЕТИКИ,Парфюмерия и косметика,/proficosmetics.php,90.0,,,,,False,False,False,,arenda@proficosmetics.ru,Москва. Стрит-ритейл Площадь от 90 кв.м.
УЛЫБКА РАДУГИ,Парфюмерия и косметика,/radugi.php,130.0,,первый этаж,,10.0,True,False,False,,support@retailstreets.ru,Жилой массив с не менее чем 10 000 жителей в радиусе 500 м Первый этаж и наличие витрин Наличие развитой инфраструктуры Возможность размещения рекламной вывески на фасаде Электрическая мощность — 10кВт на 100 м2 Общая площадь — от 130 м2 до 180 м2
МАГНИТ КОСМЕТИК,Парфюмерия и косметика,/magnitcosmetic.php,180.0,,,,,False,False,False,,kp_nedvigimost@magnit.ru,"Под магазины по продаже косметики, бытовой химии и товаров для дома формата «Магнит - Косметик» (МК) рассматриваются помещения площадью от 180 кв.м. до 300 кв.м."
ЛЕТУАЛЬ,Парфюмерия и косметика,/letoile.php,,,,,,False,False,False,,arenda@alkor.co.ru,
РИВ ГОШ,Парфюмерия и косметика,/rivegauche.php,250.0,,первый этаж; торговый центр,,,True,False,False,,support@retailstreets.ru,"Торговые центры - Первый этаж, зона главной входной группы в торговый центр или зона центрального атриума Street-retail - Помещение с витринами на 1-м этаже здания, расположенного на центральной улице города Площадь: от 250 м2 до 1500 м2 Витринная группа: не менее 10 м Срок договора: от 7 лет Возможность размещения вывески РИВ ГОШ на фасаде на весь срок договора"
ИЛЬ ДЕ БОТЕ,Парфюмерия и косметика,/iledebeaute.php,,,,,,False,False,False,,rent@iledebeaute.ru,
ЛОКСИТАН,Парфюмерия и косметика,/loccitane.php,30.0,60.0,,,,False,False,False,,Janna.Izvekova@sobeautiful.ru,Москва и в крупнейшие региональные города Площадь от 30 до 60 м2
HAMELEONAIL,Парфюмерия и косметика,/hameleonail.php,10.0,50.0,1 этаж; 1 этаж,,,False,False,False,,hameleonopt@mail.ru,Рассматриваем варианты размещения в торговых точках и островах в торговых центрах. Площадь помещения от 10 до 50 м2 Высокая проходимость Предпочтительно 1 этаж Широкие рекламные возможности
ЕРМОЛИНО,Продукты,/ermolino.php,20.0,100.0,,,,False,False,False,,support@retailstreets.ru,Торговая сеть Ермолино арендует помещения под продуктовые магазины. Площадь от 20 до 100 м2
ИКОРНЫЙ,Продукты,/ikorniy.php,21.0,40.0,1 этаж; цоколь; 1 этаж,,10.0,False,True,False,,arenda@ikorniydom.ru,"Москва и Московская область Изолированное помещение для размещения магазина Требования к помещению: центр спальных, торговых или деловых районов сложившийся торговый кластер видимость с основных трафиков отдельный вход 1 этаж - наличие парковки желательно площадь помещения 21-40 м2 (оптимально 30-50 м2) свободная планировка желательно от 10 кВт электроэнергии инженерные коммуникации круглосуточный доступ Торговая площадь в продуктовом гастрономе Требования к помещению: 1 этаж / неглубокий цоколь наличие парковки минимальная площадь 7,5 × 2,5 м 7 кВт электроэнергии наличие кондиционирования инженерные коммуникации наличие сетевых компаний на территории Гастронома круглосуточный доступ Торговое помещение для продуктового гастронома большого формата Требования к помещению: отдельный вход / общий вход разделенный тамбуром 1 этаж / неглубокий цоколь наличие парковки площадь помещения 60-120 м2 свободная планировка желательно погрузка-разгрузка от 35 кВт электроэнергии инженерные коммуникации"
КОНФАЭЛЬ,Продукты,/confael.php,,,,,,False,False,False,,fmdirector@confael.ru,остров в торговых центрах; отдельный бутик в торговых центрах; Street retail.
АЛЕНКА,Продукты,/alenka.php,100.0,300.0,,,20.0,True,False,False,,arenda@babaev.ru,"Площадь от 100 до 300 кв.м. Центральные улицы города, туристические маршруты, исторические центры, пешеходные зоны, выходы из станций метро. Первые этажи, отсутствие ступенек (не более трех). Высокий пешеходный трафик. Хорошая обзорность с главной улицы. Наличие больших витрин, панорамное остекление. Помещения правильной прямоугольной формы. Возможность размещения рекламных конструкций на фасаде. Не менее 20 кВт э/энергии. Канализация. Водоснабжение."
РЕМИТ,Продукты,/remit.php,200.0,400.0,,,,False,False,False,,support@retailstreets.ru,Площадь 200-400 кв.м. Расположение Москва и ближнее Подмосковье
КРАСНАЯ ИКРА,Продукты,/krasnaya-ikra.php,25.0,100.0,1 этаж; цоколь; 1 этаж,,10.0,True,True,False,,realtor@krasikra.com,Отдельное помещение: отдельный вход 1 этаж - наличие парковки желательно площадь помещения 25-100 м2 свободная планировка желательно от 10 кВт электроэнергии инженерные коммуникации место под наружную рекламу Площадь в продуктовом гастрономе: 1 этаж / неглубокий цоколь наличие парковки минимальная площадь 6000 х 3000 мм 8 кВт электроэнергии< инженерные коммуникации наличие сетевых компаний в Гастронома место под наружную рекламу Помещение под гастроном: 1 этаж наличие парковки площадь помещения 100-350 свободная планировка желательно погрузка-разгрузка от 35 кВт электроэнергии инженерные коммуникации место под наружную рекламу
КАРАВАЙ-СВ,Продукты,/karavay.php,8.0,15.0,,,,False,False,False,,arenda@karavay-sv.ru,Площадь от 8 до 15 м2
МЯСНИЦКИЙ РЯД,Продукты,/kolbasa.php,15.0,,первый этаж,,150.0,True,False,False,,razvitie@fmmr.market,"Размещение: street retail, торговые центры, первый этаж жилого дома, зальная планировка, пристройка к зданию или отдельно стоящее здание, павильон Общая площадь от 15 м² до 100 м² Электроэнергия: от 4 до 150 кВт Проходное удобное для покупки место Есть место под наружную рекламу Канализация Наличие ХВС (холодного водоснабжения) Высота потолка не менее 3 метров"
МЯСНОВЪ,Продукты,/myasnov.php,250.0,300.0,на 1 этаж; 1 этаж,3.0,45.0,False,False,False,,77arenda@mail.ru,Площадь 250-300 кв.м. на 1 этаже Мощность не менее 45 кВт Высота потолка от 3 метров Наличие парковки и зоны разгрузки
ВКУСВИЛЛ,Продукты,/vkusvill.php,100.0,,первый этаж; подвал,,40.0,True,False,False,,razvitie@vkusvill.ru,"Размещение: street retail, торговые центры Площадь (общая от 100 м² до 250 м²) Электроэнергия: не менее 40 кВт Проходное удобное для покупки место Завоз товара не пересекается со входом покупателя Первый этаж жилого дома, пристройка к зданию или отдельно стоящее здание (подвал и второй этаж не рассматривается; подсобка может быть в подвале) Есть место под наружную рекламу Канализация Наличие ХВС (холодного водоснабжения) Высота потолка не менее 3 метров"
АГРОКОМПЛЕКС ВЫСЕЛКОВСКИЙ,Продукты,/agrokompleks.php,30.0,1000.0,на 1 этаж; 1 этаж,,,False,False,False,,support@retailstreets.ru,Площадь помещений от 30 до 1000 м2 Помещения на 1 этажах коммерческого назначения Земельные участки от 50 м2
OZON,Пунк выдачи,/ozon.php,20.0,60.0,,,,False,True,False,,support@retailstreets.ru,"Площадь от 20 до 60 м² Москва, Московская область. В приоритете стрит-ритейл, помещения с отдельным входом)."
ЯНДЕКС МАРКЕТ,Пунк выдачи,/yandexmarket.php,20.0,60.0,,,,False,True,False,,support@retailstreets.ru,"Площадь от 20 до 60 м² Стрит-ритейл и торговые центры (в приоритете стрит-ритейл, помещения с отдельным входом)."
WILDBERRIES,Пунк выдачи,/wb.php,40.0,120.0,1 этаж; цоколь; 1 этаж,,,True,True,False,,support@retailstreets.ru,"Площадь от 40 до 120 м² 1 этаж, неглубокий цоколь Возможность размещения вывески Отдельный вход Вы можете предложить помещение в аренду под пункт выдачи заказов (ПВЗ) WILDBERRIES связавшись с сотрудником по приведенным ниже контактам."
LAMODA,Пунк выдачи,/lamoda.php,50.0,120.0,1 этаж; 1 этаж,,,True,False,False,,support@retailstreets.ru,Street-retail и торговые центры Площадь от 50 до 120 м² 1 этаж. (2 этаж рассматривается при обязательном наличии лифта или эскалатора) Зальная планировка Возможность размещения вывески на фасаде Возможность разгрузки 24/7
ZАМАНИЯ (ЗАМАНИЯ),Развлечения/кинотеатры,/zamania.php,5.0,12.0,,,,False,False,False,,arenda@zamania.ru,Расположение в крупных ТРЦ (аренднопригодная площадь от 20000 кв.м.) Площадь от 2000 кв.м. Высота потолков от 5 до 12 кв.м. Выделенная мощность 160 кв.м.
ДЖУНГЛИ СИТИ),Развлечения/кинотеатры,/junglicity.php,,,,,,False,False,False,,jungle_razvitie@jupark.ru,Помещения в крупных торгово-развлекательных центрах
МЕГАФОН,Салоны связи,/megafon.php,20.0,,1 этаж; цоколь; 1 этаж,,,False,False,False,,support@retailstreets.ru,"Помещения под салоны связи от 20 кв.м. 1 этаж для стрит-ритейла, 1 и цокольный для ТЦ Места с большой проходимостью"
БИЛАЙН,Салоны связи,/beeline.php,20.0,50.0,1 этаж; 1 этаж,,,True,False,False,,support@retailstreets.ru,Арендуем торговые помещения под салоны связи в торговых центрах и формата стрит-ритейл. Площадь помещений от 20 до 50 кв.м. 1 этаж. Торговые центры и стрит-ритейл. Витринные окна. Места с большой проходимостью.
T2,Салоны связи,/t2.php,15.0,60.0,1 этаж; 1 этаж,,,True,False,False,,arendatele2@mail.ru,"Ищем торговые помещения в торговых центрах и формата стрит-ритейл. Площадь от 15 до 60 кв.м. 1 этаж, витринные окна. Места с большой проходимостью."
МТС,Салоны связи,/mts.php,20.0,70.0,,,,False,False,False,,support@retailstreets.ru,"Площадь от 20 до 70 кв.м. Места с большой проходимостью. Торговые центры - на входе, на пересечении галерей или возле кассовой зоны продуктового якоря. Street retail - в деловом или торговом центре города, возле станций метро, авто- и ж/д-вокзалов, транспортных развязок"
XSTORE,Салоны связи,/xstore.php,15.0,45.0,2 этаж,,,False,False,False,,support@retailstreets.ru,Площадь помещения: Салон: от 15-45 м2 Остров: от 9-20 м2 ТОПовые ТРЦ города с трафиком от 10000 человек в день 1 и 2 этажи ТЦ
СУПЕРМЕН,"Салоны красоты, барбершопы, парикмахерские",/superman.php,20.0,40.0,1 этаж; 1 этаж,,,True,False,False,,support@retailstreets.ru,"Площадь от 20 до 40 м2 1 этаж Наличие окон, возможность размещения вывески"
AMAZING RED,Спорт,/amazingred.php,,,,,,False,False,False,,rent@inventive.ru,
ТРИАЛ-СПОРТ,Спорт,/trialsport.php,1000.0,1500.0,,,,False,False,False,,support@retailstreets.ru,"Помещения должны располагаться в населенных пунктах с численностью населения более 150 000 тыс. человек, на проездных магистралях, в торговых центрах. Общая площадь: 1000 - 1500 м2"
СПОРТМАСТЕР,Спорт,/sportmaster.php,1200.0,,,,,False,False,False,,arenda@sportmaster.ru,"Объекты должны располагаться в населенных пунктах с численностью населения более 70 тыс. человек, на центральных магистралях города, в крупных торговых центрах. Для Украины, Казахстана и Республики Беларусь - города с численностью от 200 тыс. человек. Помещение общей площадью от 1200 кв. м. до 6000 кв.м. должно находиться на первом этаже (возможно рассмотрение других вариантов). Должна быть возможность подъезда и разгрузки большегрузных автомобилей, в случае расположения объекта на втором - наличие грузового лифта. Ширина входной группы - не менее 12 метров. Высота потолков - не менее 3,5 метров."
ПЕТРОВИЧ,Стройматериалы,/petrovich.php,,,,,,False,False,False,,direct.development@petrovich.ru,"Петрович рассматривает локации под будущее размещение своих Строительно-Торговых Центров (СТЦ). Рассматривается покупка земельных участков от 6 га, на первых линиях транспортных магистралей, внутригородское или вне границ населенного пункта на оживленной трассе, размещение)."
ВСЕИНСТРУМЕНТЫ.РУ,Стройматериалы,/vseinstrumenti.php,150.0,200.0,первый этаж,2.8,,False,False,False,,support@retailstreets.ru,"Площадь от 150 до 200 м2 Только первый этаж, круглосуточный доступ Высота потолков от 2.8 м"
КРЕПМАРКЕТ,Стройматериалы,/krepmarket.php,70.0,500.0,,,50.0,False,False,False,,4004545@krepmarket.ru,"Москва Площадь помещения от 70 до 500 м2. Наличие парковки Вид строения может быть абсолютно любой: павильоны, торговые площади, пристройки и т. п. мощность в электросетях должна составлять не менее 50 кВт, также требуется наличие всех инженерных коммуникаций"
GRAND LINE,Стройматериалы,/grandline.php,30.0,150.0,,,,False,False,False,,arenda@grandline.ru,"Москва, Московская область Санкт-Петербург Калуга, Тула, Брянск, Рязань, Ярославль, Рыбинск, Кострома, Иваново. Краснодар, Ростов-на Дону, Сочи, Ставрополь. Саранск, Казань, Чебоксары, Екатеринбург, Набережные Челны, Нижний Новгород, Арзамас, Муром, Дзержинск, Балахна. Помещения или земельные участки Павильоны площадью от 30 до 150 м2 Земельные участки 100 до 300 м2"
ПОЛ СТРАНЫ,Стройматериалы,/polstrany.php,120.0,,,3.0,,True,False,False,,rent@polstrany.ru,площадь торгового зала без учета подсобных помещений – от 120 м2 Торговые центры и стрит-ритейл (первая линия) высота потолков от 3 м возможность размещения вывески полного формата пешеходный и автомобильный трафик наличие парковки шаговая доступность от метро (не более 10 минут пешком)
УПРАВДОМ,Стройматериалы,/upravdom.php,300.0,,первый этаж,3.0,,True,False,False,,support@retailstreets.ru,первый этаж первой линии домов или площадь в торговом цен>тре; площадь торгового зала от 300 м²; свободная планировка; высота потолков от 3 м; возможность проведения погрузочно - разгрузочных работ (еврофура); возможность размещения вывески полного формата; пешеходный и автомобильный трафик; прямой долгосрочный договор с собственником (от 5 лет).
ДОБРОЦЕН,Супермаркет/Гипермаркет,/dobrotsen.php,,,,3.5,50.0,False,False,True,,razvitie@dobrotsen.ru,"площадь 800-1100м; локация: первая линия на въезде/выезде в город с федеральных трасс; местонахождение на первом этаже; наличие парковки на 40-50 м/мест; выделенная мощность 50 кВт; отдельный въезд для фур с обратной стороны здания; обустройство беспылевого пола; нагрузка на пол 3т/м2 при высоте потолка от 3.5м; высота потолков от 3.5м один уровень пола в ТЗ, холодильной камере, зоне приемки и пандусе на разгрузке; обустройство навеса-козырька с освещением и тепловой завесой в зоне приемки (под фуру) и при входе покупателей; наличие тамбура на центральном входе для Покупателей; наличие электро-точки для подключения холодильного оборудования мощностью 20кВт и напряжением 380 В., с установленным рубильником (автоматом); наличие вентиляции в помещении; наличие освещения не менее 350 лк в ТЗ и не менее 250 лк в зоне приемки и подсобных помещениях; обустройство туалета с умывальником; подвод воды и канализации, облицовка кафелем в зоне фасовки; обустройство кабинета директора, склада и раздевалки для сотрудников; наличие документов, необходимых для государственной регистрации договора аренды"
ДА,Супермаркет/Гипермаркет,/da.php,1000.0,,,3.2,170.0,False,False,False,,support@retailstreets.ru,"Расположение объекта на пересечении основных автодорог, либо при въезде/выезде из города с населением от 20 000 человек в Московской области (Тверской, Тульской, Рязанской, Калужской областях), либо на крупных развязках автодорог В составе торговых центров, ритейл парков, встроенно-пристроенных помещений или отдельно стоящих зданий Помещение в одном уровне, от 1000 кв.м. с высотой потолка от 3,2 метров Шаг колонн от 6 метров Нагрузка на пол: мин - 1000 кг/кв.м. в торговом зале и в зоне складирования товара Парковка - от 40 машиномест Электрическая мощность - от 170 кВт"
ЧИЖИК,Супермаркет/Гипермаркет,/chizik.php,390.0,420.0,,,50.0,False,False,False,,112@chizhik.club,"Площадь общая – 390-420 кв. м., торгового зала – 250-280 кв.м. Наличие зоны разгрузки и подъездные пути к ней, входной группы. Электрическая мощность 40-50 кВт. Холодное водоснабжение, канализация, отопление. Москва, Тверь, Владимир, Н.Новгород, Уфа, Челябинск, Екатеринбург, Пермь и области соответствующих городов."
ГИПЕРМАРКЕТЫ МАЯК,Супермаркет/Гипермаркет,/mayak.php,,,,,,False,False,False,,razvitie@mayakgm.ru,"Гипермаркет «Маяк» – это магазин-склад площадью, около 2 000 кв.м. В «Маяке» применяется выкладка товаров на складских стеллажах, поддонах."
СВЕТОФОР,Супермаркет/Гипермаркет,/svetofor.php,900.0,1200.0,,,,False,False,False,,rent@svetofor-nsk.ru,Супермаркет - площадь от 900 до 1200 кв.м. Требования полностью и регионы развития можно посмотреть на сайте торговой сети Светофор
МИРАТОРГ,Супермаркет/Гипермаркет,/miratorg.php,500.0,3500.0,1 этаж; 1 этаж,,,False,False,False,,A.Anikin@agrohold.ru,"1 этаж отдельностоящего здания (ТЦ, встроенно-пристроенное); · возможность разгрузки большегрузными автомобилями; · наличие парковки; · инженерные коммуникации. Месторасположение: · густонаселенный жилой массив; · интенсивный автомобильный и пешеходный траффик; · наличие остановок общественного транспорта и метро. Центральный регион: · общая площадь супермаркета от 500 до 3500 кв.м. · общая площадь мясной лавки от 80 до 150 кв.м. Центрально-Черноземный регион: · общая площадь супермаркета от 500 до 800 кв.м. (ТЗ – от 350 до 650 кв.м.)"
БАХЕТЛЕ,Супермаркет/Гипермаркет,/bahetle.php,,,,,,False,False,False,,,
ВЕРНЫЙ,Супермаркет/Гипермаркет,/verno.php,400.0,1000.0,первый этаж,,,False,False,False,,support@retailstreets.ru,"Объекты недвижимости на первый этажах жилых домов, ОСЗ, помещения в торговых центрах площадью от 400 до 1000 кв.м. Земельные участки под строительство магазинов."
АВОСЬКА,Супермаркет/Гипермаркет,/avoska.php,600.0,1500.0,,3.0,150.0,False,False,False,,razvitie@avoska.ru,"Площадь объекта от 600 до 1500 м2. Варианты требуемых объектов: отдельно - стоящие, встроено-пристроенные, одноэтажные. В отдельных случаях возможен вариант рассмотрения встроенных помещений. Торговый зал от 400 до 600 м2 (приблизительно 70 % площади помещения) свободной планировки (без перепадов уровня пола), либо с возможностью организации однообъемного торгового зала. В случае, если объект более одного этажа, площадь 1-го этажа, должна быть не менее 450 м2. Высота потолка от 3 м. Обязательное наличие дебаркадера (разгрузочной зоны), или возможность организации разгрузочной зоны. Обязательно наличие подъездных путей и развязок. Желательно наличие паркинга от 10-20 машиномест, или возможность его организации. Требуемая энергетическая мощность от 80 -150 Квт, в зависимости от площади объекта (принимать из расчета 0,1 кВт на 1 кв.м.). Либо возможность увеличения существующей мощности. Объект должен находиться в зоне массовой жилой застройки и оживленного транспортного трафика. Возможен вариант покупки или аренды земли, под строительство объектов, от 1000 до 3000 м2."
МАГНОЛИЯ,Супермаркет/Гипермаркет,/magnolia.php,2.0,600.0,,,60.0,True,False,False,,Svetlana_21@list.ru,"Расположение г. Москва Площадь 250м2 - 600м2 Первая линия домов, хорошая видимость 40-60 кВт, ГВС, ХВС, канализация Возможность размещения вывески на фасаде здания Высота потолков от 2,5 до 3,5м Обязателен подъезд для разгрузки малотоннажных автомобилей (Газель)"
